fila,sepal_length,sepal_width,petal_length,petal_width,species
fila131,7.4,2.8,6.1,1.9,virginica
fila132,7.9,3.8,6.4,2,virginica
fila133,6.4,2.8,5.6,2.2,virginica
fila134,6.3,2.8,5.1,1.5,virginica
fila135,6.1,2.6,5.6,1.4,virginica
fila136,7.7,3,6.1,2.3,virginica
fila137,6.3,3.4,5.6,2.4,virginica
fila138,6.4,3.1,5.5,1.8,virginica
fila139,6,3,4.8,1.8,virginica
fila140,6.9,3.1,5.4,2.1,virginica
fila141,6.7,3.1,5.6,2.4,virginica
fila142,6.9,3.1,5.1,2.3,virginica
fila143,5.8,2.7,5.1,1.9,virginica
fila144,6.8,3.2,5.9,2.3,virginica
fila145,6.7,3.3,5.7,2.5,virginica
fila146,6.7,3,5.2,2.3,virginica
fila147,6.3,2.5,5,1.9,virginica
fila148,6.5,3,5.2,2,virginica
fila149,6.2,3.4,5.4,2.3,virginica
fila150,5.9,3,5.1,1.8,virginica
